fiscal_year,department_id,department_name,department_friendly_name,department_acronym,sort_order,prime_sb_dollars,prime_sdb_dollars,prime_wosb_dollars,prime_sdvosb_dollars,prime_hz_dollars,prime_sb_pfy4_achievement,prime_sb_pfy3_achievement,prime_sb_pfy2_achievement,prime_sb_pfy_achievement,prime_sb_cfy_achievement,prime_sb_cfy_goal,prime_sb_category_weight,prime_sb_category_achievement,prime_wosb_pfy4_achievement,prime_wosb_pfy3_achievement,prime_wosb_pfy2_achievement,prime_wosb_pfy_achievement,prime_wosb_cfy_achievement,prime_wosb_cfy_goal,prime_wosb_category_weight,prime_wosb_category_achievement,prime_sdb_pfy4_achievement,prime_sdb_pfy3_achievement,prime_sdb_pfy2_achievement,prime_sdb_pfy_achievement,prime_sdb_cfy_achievement,prime_sdb_cfy_goal,prime_sdb_category_weight,prime_sdb_category_achievement,prime_sdvosb_pfy4_achievement,prime_sdvosb_pfy3_achievement,prime_sdvosb_pfy2_achievement,prime_sdvosb_pfy_achievement,prime_sdvosb_cfy_achievement,prime_sdvosb_cfy_goal,prime_sdvosb_category_weight,prime_sdvosb_category_achievement,prime_hz_pfy4_achievement,prime_hz_pfy3_achievement,prime_hz_pfy2_achievement,prime_hz_pfy_achievement,prime_hz_cfy_achievement,prime_hz_cfy_goal,prime_hz_category_weight,prime_hz_category_achievement,prime_total_score,prime_footnotes,sub_sb_dollars,sub_wosb_dollars,sub_sdb_dollars,sub_sdvosb_dollars,sub_hz_dollars,sub_sb_pfy4_achievement,sub_sb_pfy3_achievement,sub_sb_pfy2_achievement,sub_sb_pfy_achievement,sub_sb_cfy_achievement,sub_sb_cfy_goal,sub_sb_category_weight,sub_sb_category_achievement,sub_wosb_pfy4_achievement,sub_wosb_pfy3_achievement,sub_wosb_pfy2_achievement,sub_wosb_pfy_achievement,sub_wosb_cfy_achievement,sub_wosb_cfy_goal,sub_wosb_category_weight,sub_wosb_category_achievement,sub_sdb_pfy4_achievement,sub_sdb_pfy3_achievement,sub_sdb_pfy2_achievement,sub_sdb_pfy_achievement,sub_sdb_cfy_achievement,sub_sdb_cfy_goal,sub_sdb_category_weight,sub_sdb_category_achievement,sub_sdvosb_pfy4_achievement,sub_sdvosb_pfy3_achievement,sub_sdvosb_pfy2_achievement,sub_sdvosb_pfy_achievement,sub_sdvosb_cfy_achievement,sub_sdvosb_cfy_goal,sub_sdvosb_category_weight,sub_sdvosb_category_achievement,sub_hz_pfy4_achievement,sub_hz_pfy3_achievement,sub_hz_pfy2_achievement,sub_hz_pfy_achievement,sub_hz_cfy_achievement,sub_hz_cfy_goal,sub_hz_category_weight,sub_hz_category_achievement,sub_total_score,sub_footnotes,peer_review_k0,peer_review_k1,peer_review_k2,peer_review_k3,peer_review_k4,peer_review_k5,peer_review_k6,peer_review_k7,peer_review_k8,peer_review_k9,peer_review_k10,peer_review_k11,peer_review_k12,peer_review_k13,peer_review_k14,peer_review_k15,peer_review_k16,peer_review_k17,peer_review_k18,peer_review_k19,peer_review_k20,peer_review_k21,peer_review_average_total,peer_review_score,peer_review_total_score,category_sb_vendor_score,category_sdb_vendor_score,category_sdvosb_vendor_score,category_wosb_vendor_score,category_hz_vendor_score,industry_category_total_score,industry_category_score,industry_total_score,category_sb_pfy_vendor_count,category_sb_cfy_vendor_count,category_sb_percent_change,category_sdb_pfy_vendor_count,category_sdb_cfy_vendor_count,category_sdb_percent_change,category_sdvosb_pfy_vendor_count,category_sdvosb_cfy_vendor_count,category_sdvosb_percent_change,category_wosb_pfy_vendor_count,category_wosb_cfy_vendor_count,category_wosb_percent_change,category_hz_pfy_vendor_count,category_hz_cfy_vendor_count,category_hz_percent_change,agency_score,agency_grade,comments
2021,3600,"VETERANS AFFAIRS, DEPARTMENT OF (3600)",Department of Veterans Affairs,VA,4,$10.5  B,$3.9  B,$801.8 M,$8.2  B,$779.7 M,29.37%,30.57%,32.23%,26.58%,30.38%,28.45%,60.00%,64.07%,2.72%,2.55%,3.16%,2.44%,2.31%,5.00%,10.00%,4.62%,7.16%,8.96%,10.00%,9.32%,11.20%,5.00%,10.00%,20.00%,19.49%,21.29%,23.39%,20.24%,23.76%,3.00%,10.00%,20.00%,2.14%,2.19%,2.93%,1.98%,2.25%,3.00%,10.00%,7.50%,58.10%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$3.3  B,$461.1 M,$510.4 M,$99.2 M,$105.4 M,16.60%,19.00%,13.40%,20.60%,13.20%,16.00%,60.00%,49.50%,2.30%,3.10%,2.20%,3.70%,1.80%,5.00%,10.00%,3.60%,1.80%,2.30%,1.10%,1.30%,2.00%,5.00%,10.00%,4.00%,0.50%,0.70%,0.40%,0.30%,0.40%,3.00%,10.00%,1.33%,0.20%,0.10%,0.10%,0.50%,0.40%,3.00%,10.00%,1.33%,11.95%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.9,1.1,1.1,0.8,1.1,5,100.00%,10.00%,"8,984","8,752",-2.58%,"3,065","3,088",0.75%,"2,163","2,164",0.05%,"1,340","1,268",-5.40%,293,302,3.10%,100.05%,A,"VA continues to face challenges in subcontracting due to the overwhelming dominance of commercial plans. For subcontracting plans associated with an individual VA-administered contract, VA excels consistently. For example, in FY 2021, VA achieved 23.9% small business participation on individual plans, well above VA’s 16% goal. When these results were combined with commercial plans, where Government-wide policy provides limited management or oversight, VA achieved 13.2% for all small businesses.

With respect to prime contracting, VA’s hierarchy of contracting preferences, established by law, mandates VA consider Service-Disabled Veteran-Owned Small Businesses (SDVOSBs) and Veteran-Owned Small Businesses (VOSBs) prior to other small business preferences such as those available in the HUBZone, 8(a) or Women-Owned Small Business programs. While consistent with VA’s mission to serve Veterans, this mandate necessarily makes achievement of those other goals extremely challenging.

VA also has special authority to award contracts to VOSBs. VA achieved 24.2% compared to a 17% goal in FY 2021. Because the Scorecard evaluates agency performance on the Government-wide small business programs, it does not factor in this VA-specific accomplishment. However, in FY 2021 VA put nearly $8.4 billion into the hands of Veteran entrepreneurs and owners."
2021,4700,GENERAL SERVICES ADMINISTRATION (4700),General Services Administration,GSA,7,$2.7  B,$1.2  B,$516.0 M,$472.2 M,$289.8 M,42.43%,38.80%,42.69%,49.43%,46.89%,30.00%,60.00%,93.78%,8.82%,8.55%,10.00%,10.41%,8.95%,5.00%,10.00%,17.90%,22.54%,19.93%,19.31%,22.18%,20.57%,5.00%,10.00%,20.00%,6.45%,5.62%,5.06%,8.91%,8.19%,3.00%,10.00%,20.00%,4.95%,3.98%,3.90%,4.39%,5.03%,3.00%,10.00%,16.76%,84.23%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$8.5  B,$1.7  B,$1.6  B,$845.0 M,$381.4 M,23.90%,24.70%,22.10%,29.30%,25.80%,20.00%,60.00%,77.40%,6.10%,4.60%,4.50%,4.80%,5.30%,5.00%,10.00%,10.60%,5.30%,4.60%,4.00%,4.40%,4.80%,5.00%,10.00%,9.60%,0.90%,1.40%,1.60%,2.90%,2.60%,3.00%,10.00%,8.67%,0.50%,0.80%,0.70%,1.20%,1.20%,3.00%,10.00%,4.00%,22.05%,Capped at 200%.,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21.8,21.8,19.82%,1.2,1.3,1.3,1.2,1.3,6.3,126.00%,12.60%,"4,282","4,668",9.01%,"1,668","2,051",22.96%,318,395,24.21%,909,987,8.60%,285,363,27.40%,138.70%,A+,"The Administrator of the General Services Administration and its workforce are committed to supporting small businesses and success on the Small Business Administration’s Federal Procurement Scorecard. This commitment is reflected in GSA’s A+ Scorecard grade for fiscal year (FY) 2021, and serves as the twelfth straight year GSA has achieved an A+ or an A. GSA strives for continuous improvement to serve our small business partners.  In FY21, GSA launched the Small Business Works event, which featured one day of small business training and reached 1,150 attendees. To support our subcontracting goals, GSA hosted quarterly  matchmaking events between GSA prime contractors and socioeconomic status small businesses. GSA is proud to note a three year high for the number of small business prime contractors in all five Small Business Categories in our Agency’s Top 100 Small Business NAICS Codes, and the highest overall score for this scorecard element since its addition to the scorecard in 2017.  Finally, in FY21, GSA obligated approximately $2.7 billion in prime contract awards to small businesses, representing a 10 year high. We look forward to another year of collaboration and shared successes with our small business partners. "
2021,4900,NATIONAL SCIENCE FOUNDATION (4900),National Science Foundation,NSF,22,$121.9 M,$71.3 M,$43.0 M,$18.1 M,$24.4 M,18.78%,11.19%,15.55%,19.27%,23.88%,15.00%,60.00%,95.52%,3.57%,2.77%,3.72%,5.99%,8.44%,5.00%,10.00%,16.88%,12.98%,6.68%,7.09%,9.54%,13.98%,5.00%,10.00%,20.00%,2.78%,2.19%,2.19%,4.26%,3.54%,3.00%,10.00%,11.80%,2.71%,1.70%,1.81%,3.82%,4.79%,3.00%,10.00%,15.97%,80.09%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$64.6 M,$14.0 M,$24.4 M,$9.2 M,$1.1 M,37.00%,37.60%,24.70%,20.50%,27.30%,32.00%,60.00%,51.19%,10.10%,17.90%,4.30%,0.60%,5.90%,5.00%,10.00%,11.80%,13.10%,7.00%,12.90%,13.10%,10.30%,5.00%,10.00%,20.00%,5.10%,4.70%,3.80%,4.60%,3.90%,3.00%,10.00%,13.00%,0.60%,0.30%,0.40%,0.20%,0.50%,3.00%,10.00%,1.67%,19.53%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,21,19.09%,1.1,1.2,0.9,1.1,0.9,5.2,104.00%,10.40%,163,171,4.91%,94,101,7.45%,33,32,-3.03%,59,60,1.70%,29,28,-3.40%,129.11%,A+,"The National Science Foundation is honored to receive an “A+” rating on the agency’s fiscal year (FY) 2021 Scorecard. Once again NSF exceeded its total small business prime contracting goal and each of the SDB, WOSB, SDVOSB, and HubZone socio-economic goals. Our FY21 achievement is especially noteworthy due to the added challenges of working during the COVID-19 pandemic.  This achievement demonstrates the NSF commitment to maximizing small business participation and represents the collaborative efforts of our Office of Small and Disadvantaged Business Utilization staff, acquisition community, and program directorates.
 
While NSF improved on its FY21 subcontracting goals, we recognize there are still deficiencies to conquer. In FY22 we will continue to strengthen our Small Business Program and identify new contract opportunities to overcome these challenges. NSF is committed to strive for excellence as we understand and appreciate the importance of small businesses which supports job creation and our economy.  NSF will continue to increase our small business outreach and engagement efforts and maximize prime and subcontracting opportunities for small businesses to deliver innovative solutions."
2021,6800,ENVIRONMENTAL PROTECTION AGENCY (6800),Environmental Protection Agency,EPA,17,$681.5 M,$287.9 M,$114.8 M,$57.4 M,$75.6 M,40.36%,43.34%,43.25%,39.50%,44.52%,37.00%,60.00%,72.19%,6.31%,5.44%,4.98%,5.47%,7.50%,5.00%,10.00%,15.00%,15.28%,15.23%,15.45%,18.04%,18.81%,5.00%,10.00%,20.00%,3.78%,4.78%,3.95%,2.96%,3.75%,3.00%,10.00%,12.50%,1.63%,2.40%,2.24%,2.02%,4.94%,3.00%,10.00%,16.47%,68.08%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$41.2 M,$8.9 M,$11.6 M,$3.6 M,$2.8 M,60.20%,61.50%,71.80%,56.70%,63.00%,59.00%,60.00%,64.07%,11.90%,10.90%,13.70%,11.40%,13.60%,5.00%,10.00%,20.00%,13.40%,21.40%,12.90%,12.70%,17.70%,5.00%,10.00%,20.00%,4.20%,6.30%,3.10%,4.30%,5.50%,3.00%,10.00%,18.33%,2.10%,1.10%,3.00%,3.60%,4.20%,3.00%,10.00%,14.00%,27.28%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,0.7,0.7,0.7,0.7,3.6,72.00%,7.20%,737,666,-9.63%,306,275,-10.13%,69,58,-15.94%,158,133,-15.80%,57,49,-14.00%,122.56%,A+,"The U.S. Environmental Protection Agency (EPA) remains committed to leveraging the capabilities of the nation’s small and socioeconomic businesses in carrying out the Agency’s mission to protect human health and the environment. Demonstrating the effectiveness of EPA’s ongoing efforts to expand small and socioeconomic business contracting opportunities and support, for the first time EPA achieved an “A+” scorecard grade, with over $722.7 million in small business prime and subcontract awards in Fiscal Year (FY) 2021. EPA’s total FY 2021 small business prime contract spend represents an increase of more than $88 million from the Agency’s FY 2020 small business prime awards. In addition, in FY 2021, EPA for the first time exceeded all of the socioeconomic business statutory goals, awarding the highest percentages of dollars in more than a decade in all but one of the small and socioeconomic business categories. These achievements were due in part to the Agency’s efforts in conducting cutting-edge acquisition planning and market research. EPA’s Office of Small and Disadvantaged Business Utilization further capitalized on strategic partnerships with the EPA acquisition workforce and with industry. It also focused on meaningful engagement with EPA’s most senior leadership. Additionally, EPA made significant strides in developing and implementing several comprehensive and coordinated strategies to integrate a Small Business First culture throughout EPA, while working to advance procurement equity for underserved and underrepresented small business communities.
"
2021,6900,"TRANSPORTATION, DEPARTMENT OF (6900)",Department of Transportation,DOT,14,$2.5  B,$1.4  B,$583.3 M,$279.2 M,$294.8 M,48.57%,33.43%,37.12%,34.05%,33.61%,30.07%,60.00%,67.06%,11.40%,8.47%,10.00%,8.29%,7.78%,5.00%,10.00%,15.56%,26.21%,17.36%,20.39%,19.31%,18.23%,5.00%,10.00%,20.00%,3.05%,3.59%,4.13%,3.76%,3.73%,3.00%,10.00%,12.43%,3.62%,1.82%,2.97%,3.41%,3.93%,3.00%,10.00%,13.10%,64.08%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$514.6 M,$106.2 M,$80.0 M,$21.3 M,$11.2 M,45.90%,51.60%,44.70%,50.20%,40.10%,45.25%,60.00%,53.17%,10.50%,12.10%,9.40%,14.10%,8.30%,5.00%,10.00%,16.60%,10.70%,9.60%,9.80%,11.00%,6.20%,5.00%,10.00%,12.40%,1.90%,2.00%,2.40%,2.40%,1.70%,3.00%,10.00%,5.67%,0.70%,1.00%,0.80%,0.50%,0.90%,3.00%,10.00%,3.00%,18.17%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,1.1,0.8,0.9,0.9,4.5,90.00%,9.00%,"1,933","1,784",-7.71%,882,896,1.59%,239,226,-5.44%,462,448,-3.00%,163,158,-3.10%,111.25%,A,"The Department of Transportation (DOT) understands the contributions of small businesses to our economy, and advocates for maximum utilization of small businesses, including small disadvantaged, women-owned, HUBZone, veteran, and service-disabled veteran owned small businesses, in its procurement process at both the prime and subcontracting. 
DOT senior leadership continues to provide exceptional support to our small business programs. The Department is committed to providing a platform of innovative ways to promote and increase small business participation in DOT contracts opportunities as primes and subcontractors.

Modal Administrations and Departmental offices are working with our OSDBU to promote equity in DOT procurement opportunities to increase small disadvantaged business utilization in support of the Administration’s equity efforts to enhance opportunities to small and minority owned businesses and underserved communities. It is our commitment to foster an environment to assist small businesses with technical assistance and capacity building activities. In FY2022, the Department will enhance procurement forecast capabilities and augment the delivery of trainings, outreach activities, capacity building and technical assistance to small and minority business owners. The Department will work closely with acquisition workforce and prime contractors on strategies to meet small business subcontracting goals."
2021,7000,"HOMELAND SECURITY, DEPARTMENT OF (7000)",Department of Homeland Security,DHS,6,$8.0  B,$3.6  B,$1.4  B,$1.1  B,$1.1  B,34.25%,34.47%,36.96%,36.04%,38.25%,33.25%,60.00%,69.02%,7.87%,7.43%,8.41%,6.80%,6.89%,5.00%,10.00%,13.78%,14.31%,15.22%,17.69%,15.57%,17.17%,5.00%,10.00%,20.00%,5.72%,5.56%,6.12%,5.77%,5.29%,3.00%,10.00%,17.63%,3.61%,3.85%,4.34%,4.09%,5.50%,3.00%,10.00%,18.33%,69.38%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$1.2  B,$351.4 M,$283.9 M,$120.5 M,$61.3 M,49.70%,50.00%,45.40%,46.30%,45.40%,42.50%,60.00%,64.09%,11.80%,10.30%,11.00%,13.10%,13.50%,5.00%,10.00%,20.00%,10.90%,8.50%,9.90%,11.50%,10.90%,5.00%,10.00%,20.00%,4.70%,3.10%,4.40%,4.40%,4.60%,3.00%,10.00%,15.33%,3.30%,3.80%,2.10%,2.10%,2.30%,3.00%,10.00%,7.67%,25.42%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.7,0.8,0.9,0.7,0.9,4,80.00%,8.00%,"5,982","5,286",-11.63%,"2,325","2,162",-7.01%,564,555,-1.60%,"1,282","1,130",-11.90%,405,389,-4.00%,122.80%,A+,"The Department of Homeland Security (DHS) is honored to receive the grade of A+ for the significant accomplishments of our acquisition professionals in maximizing opportunities for small businesses.  Through outreach, education, small business advocacy, and agency collaboration, DHS obligated $8.0 billion to American small businesses in FY 2021. The Department’s ability to exceed all the small business prime goals during challenging times is a testament to our commitment of partnering with small businesses.  
DHS has received a grade of “A” or “A+” thirteen years in a row with six consecutive grades of A+ since FY 2016 - the largest federal agency to have such a track record. In virtually every segment of our homeland security community, there are small businesses working to support the DHS mission, playing a critical role in delivering efficient and innovative solutions.  DHS will continue as a leader in federal small business contracting by focused small business outreach and engagement and supporting diversity, equity, and inclusion in procurement resulting in an increase in prime and subcontracting opportunities for small businesses."
2021,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT (7200),Agency for International Development,USAID,21,$826.9 M,$408.4 M,$313.4 M,$33.2 M,$33.6 M,13.18%,14.04%,14.80%,14.90%,14.88%,12.51%,60.00%,71.36%,3.83%,4.45%,5.55%,5.69%,5.64%,5.00%,10.00%,11.28%,7.15%,7.66%,7.38%,6.93%,7.35%,5.00%,10.00%,14.70%,0.84%,0.35%,0.38%,0.48%,0.60%,3.00%,10.00%,2.00%,0.19%,0.43%,0.58%,0.66%,0.61%,3.00%,10.00%,2.03%,50.69%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$111.1 M,$32.6 M,$17.7 M,$1.2 M,$4.1 M,17.20%,24.50%,20.20%,18.60%,21.00%,16.00%,60.00%,78.75%,4.60%,7.00%,5.00%,5.80%,6.20%,5.00%,10.00%,12.40%,2.60%,4.30%,5.30%,3.00%,3.30%,5.00%,10.00%,6.60%,1.10%,1.10%,0.50%,0.50%,0.20%,3.00%,10.00%,0.67%,0.80%,0.50%,0.70%,0.40%,0.80%,3.00%,10.00%,2.67%,20.22%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,0.8,1,0.8,1.3,4.7,94.00%,9.40%,286,263,-8.04%,154,141,-8.44%,18,18,0.00%,97,89,-8.20%,18,22,22.20%,100.31%,A,"The U.S. Agency for International Development (USAID) is pleased to receive its first A on the Small Business Procurement Scorecard since 2015.  USAID awarded 14.88% of its total contracting dollars worldwide to U.S. Small Businesses equating to more than $823M. USAID is the international development arm of the U.S. Government providing health and humanitarian assistance to developing countries worldwide.  Our U.S. small business partners work in every sector and in every country where USAID works contributing to the improved lives and livelihoods of people worldwide.  U.S. small businesses are an integral and valued partner in USAID’s development work. While we celebrate our successes in the overall Small Business category; and the Women-Owned and Small and Disadvantaged Business socio-economic categories, we recognize that there is still room to grow. In keeping with the Executive Order on Advancing Racial Equity and Support for Underserved Communities Through the Federal Government, USAID remains committed to further engaging all categories of small business in our important work.    "
2021,7300,SMALL BUSINESS ADMINISTRATION (7300),Small Business Administration,SBA,24,$695.8 M,$612.4 M,$240.8 M,$350.8 M,$327.9 M,79.53%,78.00%,81.02%,80.18%,60.65%,75.00%,60.00%,48.52%,20.26%,28.52%,24.17%,63.09%,20.99%,5.00%,10.00%,20.00%,52.33%,48.43%,55.90%,73.69%,53.38%,5.00%,10.00%,20.00%,18.66%,13.96%,24.17%,9.99%,30.58%,3.00%,10.00%,20.00%,7.46%,11.17%,6.74%,7.61%,28.58%,3.00%,10.00%,20.00%,64.26%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$227.5 M,148.0 K,$17.4 M,$3.0 M,$2.8 M,99.10%,59.60%,67.80%,92.50%,96.90%,39.00%,60.00%,120.00%,31.10%,15.10%,9.80%,0.00%,0.10%,5.00%,10.00%,0.20%,17.50%,2.20%,24.10%,22.60%,7.40%,5.00%,10.00%,14.80%,3.60%,4.00%,1.90%,1.60%,1.30%,3.00%,10.00%,4.33%,1.20%,0.20%,0.10%,2.10%,1.20%,3.00%,10.00%,4.00%,28.67%,Capped at 200%.,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,19,17.27%,0.9,1.1,0.8,0.9,1.3,5,100.00%,10.00%,205,204,-0.49%,111,115,3.60%,40,37,-7.50%,64,61,-4.70%,28,32,14.30%,120.20%,A+,"The SBA is proud to have earned an A+ for our Fiscal Year 2021 Small Business Procurement Scorecard. The SBA has achieved a successful track record of obtaining a grade of A or A+ eleven years in a row with consecutive grades of A+ for its last five years of accomplishments. This achievement reflects the SBA Acquisition workforce’s determination and commitment to providing opportunities for the small business community, despite the challenges faced in response to the COVID-19 global pandemic. The SBA will continue to actively work with the small business community and our large business prime contractors to strengthen its subcontracting program across all socio-economic categories."
2021,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",Department of Health and Human Services,HHS,3,$9.4  B,$5.5  B,$2.3  B,$782.7 M,$617.5 M,22.32%,22.13%,25.26%,23.08%,23.44%,21.80%,60.00%,64.51%,6.54%,6.37%,7.24%,5.02%,5.82%,5.00%,10.00%,11.64%,10.21%,10.93%,14.26%,10.88%,13.69%,5.00%,10.00%,20.00%,1.66%,1.93%,2.76%,1.70%,1.96%,3.00%,10.00%,6.53%,0.81%,0.93%,1.49%,1.31%,1.54%,3.00%,10.00%,5.13%,53.91%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$768.6 M,$161.1 M,$104.0 M,$30.3 M,$28.9 M,34.90%,34.30%,35.80%,27.70%,17.20%,33.25%,60.00%,31.04%,6.60%,7.90%,8.20%,6.80%,3.60%,5.00%,10.00%,7.20%,6.10%,7.20%,6.70%,5.90%,2.30%,5.00%,10.00%,4.60%,1.20%,1.40%,2.00%,1.50%,0.70%,3.00%,10.00%,2.33%,1.10%,1.00%,1.90%,1.60%,0.60%,3.00%,10.00%,2.00%,9.43%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.8,0.9,0.9,0.8,1.1,4.5,90.00%,9.00%,"4,931","4,539",-7.95%,"1,889","1,834",-2.91%,343,334,-2.62%,"1,142","1,067",-6.60%,262,263,0.40%,92.34%,B,The Department of Health and Human Services is committed to ensuring the Small Business industrial base is provided maximum practical opportunities. The Department continues to focus its efforts on  increasing SDVOSB and HUBZone opportunities. The department will utilize targeted outreach events to help increase HUBZone and SDVOSB performance. The  department will also engage industry associations to target their industrial base to assist in achieving the agency’s goals.  The department will continue to provide increased oversight to are large procurement in order to ensure prime contractors are meeting or excessing the subcontracting plans and goals.  
2021,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (8000),National Aeronautics and Space Administration,NASA,5,$3.5  B,$1.5  B,$786.9 M,$303.0 M,$155.7 M,16.50%,16.66%,17.68%,17.55%,18.18%,15.75%,60.00%,69.26%,4.40%,4.58%,4.80%,4.29%,4.13%,5.00%,10.00%,8.26%,7.73%,8.57%,7.91%,7.58%,8.04%,5.00%,10.00%,16.08%,1.03%,1.02%,1.35%,1.65%,1.59%,3.00%,10.00%,5.30%,0.47%,0.53%,0.83%,0.65%,0.82%,3.00%,10.00%,2.73%,50.82%,"1) Capped at 200%; 2)Achievements include double-credit for local-area set-asides, Puerto Rico, and territory awards.",$3.7  B,$847.6 M,$814.9 M,$291.6 M,$250.5 M,42.60%,42.40%,42.30%,39.30%,39.40%,32.60%,60.00%,72.52%,10.40%,10.60%,11.10%,9.00%,9.00%,5.00%,10.00%,18.00%,11.70%,11.60%,9.40%,9.30%,8.60%,5.00%,10.00%,17.20%,3.60%,3.70%,3.90%,3.00%,3.10%,3.00%,10.00%,10.33%,3.20%,3.50%,3.70%,3.10%,2.70%,3.00%,10.00%,9.00%,25.41%,Capped at 200%.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,22,20.00%,0.9,0.9,1.2,0.7,1.3,5,100.00%,10.00%,"1,870","1,797",-3.90%,520,499,-4.04%,97,104,7.22%,335,296,-11.60%,82,98,19.50%,106.23%,A,"In Fiscal Year (FY) 2021, NASA maintained its SBA Scorecard grade of an “A” due to more than $3.5 billion in obligations directly to small businesses, as well as another $3.9 billion that was subcontracted to small businesses from NASA’s large prime contractors.  The subcontracting program is critical to the agency’s Small Business Program.  Thousands of small businesses provide support to NASA’s mission by building critical hardware components for NASA. The NASA innovative Mentor-Protégé Program also continues to provide a robust platform for small businesses to grow as viable contributors to the Agency and Federal government.  The NASA Office of Small Business Programs (OSBP) strategically develops outreach and training opportunities for the small business community. OSBP also works closely with NASA’s Office of Procurement to identify prime and subcontracting opportunities for small businesses.  OSBP maintains vigorous digital marketing engagement capabilities including its website, NASA Vendor Database, OSBP Mobile App, email marketing, social media presence, and an online calendar. These tools allow OSBP to directly and effectively engage with small businesses and execute virtual outreach events.  As always, this achievement is credited to the support of NASA’s senior management, the Agency’s small business specialists, technical and program teams, the Office of Procurement, and other Acquisition Professionals."
